role,estimator,spec,treatment,sample,outcome,units,att,se,note,source,on_primary
diagnostic,CDH,"outcome calendar: three censuses (2 horizons, same switchers)",combined >=50%,waves: three censuses,language,SD (anchored 2016 scale),-0.0477,0.012,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: three censuses (2 horizons, same switchers)",combined >=50%,waves: three censuses,mathematics,SD (anchored 2016 scale),-0.1222,0.0146,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,reference specification,combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0147,0.0114,same as main,06k_leave_one_province.csv,TRUE
diagnostic,CDH,reference specification,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0277,0.0139,same as main,06k_leave_one_province.csv,TRUE
diagnostic,CS,drop 2021 (COVID trough),combined >=50%,"waves: 2016,2018,2022,2023,2025",language,SD (anchored 2016 scale),0.0106,0.024,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,drop 2021 (COVID trough),combined >=50%,"waves: 2016,2018,2022,2023,2025",mathematics,SD (anchored 2016 scale),0.0761,0.0281,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,drop 2021+2022 (COVID period),combined >=50%,"waves: 2016,2018,2023,2025",language,SD (anchored 2016 scale),0.0145,0.0122,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,drop 2021+2022 (COVID period),combined >=50%,"waves: 2016,2018,2023,2025",mathematics,SD (anchored 2016 scale),0.0364,0.0164,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,drop 2022 (sample wave),combined >=50%,"waves: 2016,2018,2021,2023,2025",language,SD (anchored 2016 scale),-0.0091,0.014,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,drop 2022 (sample wave),combined >=50%,"waves: 2016,2018,2021,2023,2025",mathematics,SD (anchored 2016 scale),0.0214,0.0156,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,exclude 2023 cohort (full waves),combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",language,SD (anchored 2016 scale),-0.0115,0.0231,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,exclude 2023 cohort (full waves),combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",mathematics,SD (anchored 2016 scale),0.0926,0.0273,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,FALSE
diagnostic,CS,"full (6 waves, headline)",combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",language,SD (anchored 2016 scale),0.0069,0.0224,same as main,06c_covid_robustness.csv,FALSE
diagnostic,CS,"full (6 waves, headline)",combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",mathematics,SD (anchored 2016 scale),0.0781,0.0253,same as main,06c_covid_robustness.csv,FALSE
diagnostic,CS,non-reverting subsample,combined >=50%,non-reverting schools,language,SD (anchored 2016 scale),0.0186,0.0377,"conditions on post-treatment behaviour, i.e. selection",11_nonreverter_results.csv,FALSE
diagnostic,CS,non-reverting subsample,combined >=50%,non-reverting schools,mathematics,SD (anchored 2016 scale),0.0825,0.041,"conditions on post-treatment behaviour, i.e. selection",11_nonreverter_results.csv,FALSE
diagnostic,FEct,FEct baseline,combined >=50%,estimation sample,language,SD (anchored 2016 scale),-0.0342,0.0069,tests whether carryover into the untreated pool explains the FEct/CDH gap,11_fect_carryover.csv,FALSE
diagnostic,FEct,FEct baseline,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),-0.0547,0.0088,tests whether carryover into the untreated pool explains the FEct/CDH gap,11_fect_carryover.csv,FALSE
diagnostic,FEct,"FEct, post-exit waves removed",combined >=50%,estimation sample less the waves following a contraction,language,SD (anchored 2016 scale),-0.0535,0.0074,tests whether carryover into the untreated pool explains the FEct/CDH gap,11_fect_carryover.csv,FALSE
diagnostic,FEct,"FEct, post-exit waves removed",combined >=50%,estimation sample less the waves following a contraction,mathematics,SD (anchored 2016 scale),-0.0749,0.0094,tests whether carryover into the untreated pool explains the FEct/CDH gap,11_fect_carryover.csv,FALSE
diagnostic,FEct,sample grid: excl. 2023 cohort,combined >=50%,excl. 2023 cohort,language,SD (anchored 2016 scale),-0.0123,0.0087,,11c_sample_grid.csv,FALSE
diagnostic,FEct,sample grid: excl. 2023 cohort,combined >=50%,excl. 2023 cohort,mathematics,SD (anchored 2016 scale),-0.0115,0.0107,,11c_sample_grid.csv,FALSE
diagnostic,FEct,sample grid: full,combined >=50%,full,language,SD (anchored 2016 scale),-0.0342,0.0069,,11c_sample_grid.csv,FALSE
diagnostic,FEct,sample grid: full,combined >=50%,full,mathematics,SD (anchored 2016 scale),-0.0547,0.0088,,11c_sample_grid.csv,FALSE
diagnostic,FEct,sample grid: non-reverting (CDH),combined >=50%,non-reverting (CDH),language,SD (anchored 2016 scale),-0.0449,0.012,,11c_sample_grid.csv,FALSE
diagnostic,FEct,sample grid: non-reverting (CDH),combined >=50%,non-reverting (CDH),mathematics,SD (anchored 2016 scale),-0.0773,0.0152,,11c_sample_grid.csv,FALSE
diagnostic,TWFE,non-reverting subsample,combined >=50%,non-reverting schools,language,SD (anchored 2016 scale),-0.042,0.0111,"conditions on post-treatment behaviour, i.e. selection",11_nonreverter_results.csv,FALSE
diagnostic,TWFE,non-reverting subsample,combined >=50%,non-reverting schools,mathematics,SD (anchored 2016 scale),-0.0773,0.0136,"conditions on post-treatment behaviour, i.e. selection",11_nonreverter_results.csv,FALSE
estimator robustness,CDH,"like-for-like, local: not-yet-treated",combined >=50%,non-reverting schools (common sample),language,SD (anchored 2016 scale),0.0201,0.0173,"aggregates THREE horizons, unlike the two of the main specification",11b_like_for_like.csv,TRUE
estimator robustness,CDH,"like-for-like, local: not-yet-treated",combined >=50%,non-reverting schools (common sample),mathematics,SD (anchored 2016 scale),0.0486,0.0211,"aggregates THREE horizons, unlike the two of the main specification",11b_like_for_like.csv,TRUE
estimator robustness,CS,composition + SES covariates (CS reference),combined >=50%,"absorbing subsample, composition-complete",language,SD (anchored 2016 scale),0.0051,0.0273,,06_estimation_main.csv,FALSE
estimator robustness,CS,composition + SES covariates (CS reference),combined >=50%,"absorbing subsample, composition-complete",mathematics,SD (anchored 2016 scale),0.0486,0.0292,,06_estimation_main.csv,FALSE
estimator robustness,CS,"like-for-like, local: not-yet-treated",combined >=50%,non-reverting schools (common sample),language,SD (anchored 2016 scale),-0.0041,0.0291,,11b_like_for_like.csv,FALSE
estimator robustness,CS,"like-for-like, local: not-yet-treated",combined >=50%,non-reverting schools (common sample),mathematics,SD (anchored 2016 scale),0.0826,0.0333,,11b_like_for_like.csv,FALSE
estimator robustness,FEct,FE imputation,combined >=50%,estimation sample,language,SD (anchored 2016 scale),-0.0342,0.0069,,11_fect_results.csv,FALSE
estimator robustness,FEct,FE imputation,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),-0.0547,0.0088,,11_fect_results.csv,FALSE
estimator robustness,FEct,interactive FE,combined >=50%,estimation sample,language,SD (anchored 2016 scale),-0.0227,0.0081,,11_fect_results.csv,FALSE
estimator robustness,FEct,interactive FE,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),-0.0516,0.0106,,11_fect_results.csv,FALSE
estimator robustness,FEct,"like-for-like, common two-way trend",combined >=50%,non-reverting schools (common sample),language,SD (anchored 2016 scale),-0.0449,0.012,,11b_like_for_like.csv,FALSE
estimator robustness,FEct,"like-for-like, common two-way trend",combined >=50%,non-reverting schools (common sample),mathematics,SD (anchored 2016 scale),-0.0773,0.0152,,11b_like_for_like.csv,FALSE
estimator robustness,FEct,"like-for-like, factor structure",combined >=50%,non-reverting schools (common sample),language,SD (anchored 2016 scale),-0.0193,0.0139,,11b_like_for_like.csv,FALSE
estimator robustness,FEct,"like-for-like, factor structure",combined >=50%,non-reverting schools (common sample),mathematics,SD (anchored 2016 scale),-0.0751,0.0164,,11b_like_for_like.csv,FALSE
estimator robustness,TWFE,"like-for-like, common two-way trend",combined >=50%,non-reverting schools (common sample),language,SD (anchored 2016 scale),-0.042,0.0111,,11b_like_for_like.csv,FALSE
estimator robustness,TWFE,"like-for-like, common two-way trend",combined >=50%,non-reverting schools (common sample),mathematics,SD (anchored 2016 scale),-0.0773,0.0136,,11b_like_for_like.csv,FALSE
estimator robustness,TWFE,static benchmark,combined >=50%,estimation sample,language,SD (anchored 2016 scale),-0.0294,0.0063,biased under staggered timing with reversals; reference only,06_estimation_main.csv,FALSE
estimator robustness,TWFE,static benchmark,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),-0.0503,0.0077,biased under staggered timing with reversals; reference only,06_estimation_main.csv,FALSE
heterogeneity (exploratory),CDH,SES tercile = 1,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0452,0.03,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 1,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0541,0.0337,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 1,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0465,0.0382,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 1,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0813,0.0434,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 2,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0027,0.0172,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 2,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0051,0.019,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 2,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0359,0.0216,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 2,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0231,0.0235,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 3,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0149,0.0146,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 3,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0104,0.0152,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 3,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0085,0.0153,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,SES tercile = 3,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0028,0.016,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,area = rural,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0436,0.0269,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,area = rural,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0305,0.0334,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,area = urban,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0043,0.0107,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,area = urban,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0234,0.0128,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 1,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0346,0.0229,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 1,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0467,0.0258,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 1,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0692,0.0284,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 1,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.075,0.0318,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 2,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0096,0.0211,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 2,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),-0.0042,0.0225,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 2,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0077,0.027,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 2,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),-0.0063,0.0291,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 3,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0015,0.0199,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 3,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0102,0.021,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 3,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0097,0.0238,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 3,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0248,0.0249,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 4,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0109,0.02,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 4,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0074,0.0212,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 4,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0217,0.0211,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,context quartile = 4,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.022,0.0223,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Centro/Pampeana,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.017,0.014,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Centro/Pampeana,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0187,0.0149,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Centro/Pampeana,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0282,0.0172,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Centro/Pampeana,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0288,0.0182,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Cuyo,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.019,0.0414,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Cuyo,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0323,0.0434,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Cuyo,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),-0.0901,0.0504,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Cuyo,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),-0.0741,0.0516,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NEA,combined >=50%,full subsample,language,SD (anchored 2016 scale),-0.0158,0.0475,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NEA,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),-0.0381,0.0679,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NEA,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0268,0.0602,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NEA,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0397,0.0749,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NOA,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0204,0.0384,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NOA,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0148,0.0462,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NOA,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0881,0.0455,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = NOA,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.1135,0.0579,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Patagonia,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0025,0.0324,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Patagonia,combined >=50%,excl. 2023 cohort subsample,language,SD (anchored 2016 scale),0.0101,0.034,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Patagonia,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0353,0.034,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,region = Patagonia,combined >=50%,excl. 2023 cohort subsample,mathematics,SD (anchored 2016 scale),0.0373,0.0353,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,sector = private,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0161,0.017,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,sector = private,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0045,0.0177,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,sector = public,combined >=50%,full subsample,language,SD (anchored 2016 scale),0.0151,0.0141,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
heterogeneity (exploratory),CDH,sector = public,combined >=50%,full subsample,mathematics,SD (anchored 2016 scale),0.0272,0.0174,"split-sample subgroup effect, reported as descriptive",10_heterogeneity_results.csv,TRUE
main,CDH,reference specification,combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0147,0.0114,,06_estimation_main.csv,TRUE
main,CDH,reference specification,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0277,0.0139,,06_estimation_main.csv,TRUE
secondary outcome,CDH,CDH drop 2020-21,combined >=50%,annual census panel,dropout,percentage points,-0.0149,0.0648,,09_trajectory_results.csv,TRUE
secondary outcome,CDH,CDH drop 2020-21,combined >=50%,annual census panel,non-promotion,percentage points,0.029,0.1022,,09_trajectory_results.csv,TRUE
secondary outcome,CDH,CDH full panel,combined >=50%,annual census panel,dropout,percentage points,-0.0189,0.0621,,09_trajectory_results.csv,TRUE
secondary outcome,CDH,CDH full panel,combined >=50%,annual census panel,non-promotion,percentage points,0.0788,0.1004,,09_trajectory_results.csv,TRUE
secondary outcome,CDH,CDH genuine only,combined >=50%,annual census panel,dropout,percentage points,-0.0148,0.0759,,09_trajectory_results.csv,TRUE
secondary outcome,CDH,CDH genuine only,combined >=50%,annual census panel,non-promotion,percentage points,0.1764,0.1176,,09_trajectory_results.csv,TRUE
secondary outcome,CS,CS full (+covars),combined >=50%,annual census panel,dropout,percentage points,-0.0431,0.1071,,09_trajectory_results.csv,FALSE
secondary outcome,CS,CS full (+covars),combined >=50%,annual census panel,non-promotion,percentage points,-0.4255,0.1992,,09_trajectory_results.csv,FALSE
specification robustness,CDH,"2 horizons, same switchers",combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0225,0.0157,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"2 horizons, same switchers",combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0435,0.0191,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"2 horizons, same switchers, pupil-weighted",combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0164,0.0122,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"2 horizons, same switchers, pupil-weighted",combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0243,0.0144,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"3 horizons, all switchers",combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0118,0.0116,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"3 horizons, all switchers",combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0185,0.0142,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"3 horizons, same switchers",combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0218,0.0272,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"3 horizons, same switchers",combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),-0.0083,0.0311,,06g_cdh_options.csv,TRUE
specification robustness,CDH,SES-stratum-specific year trends,combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0166,0.0117,,06g_cdh_options.csv,TRUE
specification robustness,CDH,SES-stratum-specific year trends,combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0264,0.0143,,06g_cdh_options.csv,TRUE
specification robustness,CDH,aggregation window: 1 horizon(s),combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0033,0.0106,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 1 horizon(s),full-day >=50%,estimation sample (full-day defined),language,SD (anchored 2016 scale),0.0207,0.0207,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 1 horizon(s),combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0118,0.0129,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 1 horizon(s),full-day >=50%,estimation sample (full-day defined),mathematics,SD (anchored 2016 scale),0.0688,0.0261,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 2 horizon(s),combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0147,0.0114,same as main,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 2 horizon(s),full-day >=50%,estimation sample (full-day defined),language,SD (anchored 2016 scale),0.021,0.0215,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 2 horizon(s),combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0277,0.0139,same as main,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 2 horizon(s),full-day >=50%,estimation sample (full-day defined),mathematics,SD (anchored 2016 scale),0.0653,0.0278,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 3 horizon(s),combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0118,0.0116,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 3 horizon(s),full-day >=50%,estimation sample (full-day defined),language,SD (anchored 2016 scale),0.0174,0.0215,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 3 horizon(s),combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0185,0.0142,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,aggregation window: 3 horizon(s),full-day >=50%,estimation sample (full-day defined),mathematics,SD (anchored 2016 scale),0.0672,0.0282,,06g_horizon_sensitivity.csv,TRUE
specification robustness,CDH,"complete-case, composition controls",combined >=50%,"estimation sample, composition-complete",language,SD (anchored 2016 scale),0.0122,0.0113,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"complete-case, composition controls",combined >=50%,"estimation sample, composition-complete",mathematics,SD (anchored 2016 scale),0.0248,0.0136,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"complete-case, uncontrolled",combined >=50%,"estimation sample, composition-complete",language,SD (anchored 2016 scale),0.0128,0.0113,,06g_cdh_options.csv,TRUE
specification robustness,CDH,"complete-case, uncontrolled",combined >=50%,"estimation sample, composition-complete",mathematics,SD (anchored 2016 scale),0.0245,0.0137,,06g_cdh_options.csv,TRUE
specification robustness,CDH,enrolment-weighted (pupil-average estimand),combined >=50%,estimation sample,language,SD (anchored 2016 scale),0.0108,0.0087,,06_estimation_main.csv,TRUE
specification robustness,CDH,enrolment-weighted (pupil-average estimand),combined >=50%,estimation sample,mathematics,SD (anchored 2016 scale),0.0183,0.0102,,06_estimation_main.csv,TRUE
specification robustness,CDH,full-day regime only,full-day >=50%,estimation sample (full-day defined),language,SD (anchored 2016 scale),0.021,0.0215,,06_estimation_main.csv,TRUE
specification robustness,CDH,full-day regime only,full-day >=50%,estimation sample (full-day defined),mathematics,SD (anchored 2016 scale),0.0653,0.0278,,06_estimation_main.csv,TRUE
specification robustness,CDH,grade-6 exposure: full,combined >=50%,full,language,SD (anchored 2016 scale),0.0147,,same as main,06e_grade_alignment.csv,TRUE
specification robustness,CDH,grade-6 exposure: full,combined >=50%,full,mathematics,SD (anchored 2016 scale),0.0277,,same as main,06e_grade_alignment.csv,TRUE
specification robustness,CDH,grade-6 exposure: grade-6-certain,combined >=50%,grade-6-certain,language,SD (anchored 2016 scale),0.0124,,source table carries no standard error,06e_grade_alignment.csv,TRUE
